Frame, TimeStamp, X, Y, Z, intensity
1 , 0.02 , 0.000000 , -0.465576 , 1.737553 , 0.000000
1 , 0.02 , 0.000000 , -0.474138 , 2.053719 , 0.000000
1 , 0.02 , 0.000000 , -0.486269 , 2.501635 , 0.000000
1 , 0.02 , 0.000000 , -0.504841 , 3.187443 , 0.000000
1 , 0.02 , 0.000000 , -0.536951 , 4.373116 , 0.000000
1 , 0.02 , 0.000000 , -0.466280 , 5.329598 , 0.000000
1 , 0.02 , 0.000000 , -0.279619 , 5.335444 , 0.000000
1 , 0.02 , 0.000000 , -0.093233 , 5.341281 , 0.000000
1 , 0.02 , 0.000000 , 0.093334 , 5.347124 , 0.000000
1 , 0.02 , 0.000000 , 0.280538 , 5.352986 , 0.000000
1 , 0.02 , 0.000000 , 0.468842 , 5.358883 , 0.000000
1 , 0.02 , 0.000000 , 0.658718 , 5.364829 , 0.000000
1 , 0.02 , 0.000000 , 0.850658 , 5.370840 , 0.000000
1 , 0.02 , 0.000000 , 1.045170 , 5.376932 , 0.000000
1 , 0.02 , 0.000000 , 1.242791 , 5.383120 , 0.000000
1 , 0.02 , 0.000000 , 1.444092 , 5.389424 , 0.000000
1 , 0.02 , 0.006066 , -0.465606 , 1.737656 , 0.000000
1 , 0.02 , 0.007169 , -0.474175 , 2.053864 , 0.000000
1 , 0.02 , 0.008733 , -0.486314 , 2.501853 , 0.000000
1 , 0.02 , 0.011128 , -0.504901 , 3.187802 , 0.000000
1 , 0.02 , 0.015268 , -0.537039 , 4.373801 , 0.000000
1 , 0.02 , 0.018600 , -0.466196 , 5.328605 , 0.000000
1 , 0.02 , 0.018621 , -0.279568 , 5.334448 , 0.000000
1 , 0.02 , 0.018641 , -0.093216 , 5.340283 , 0.000000
1 , 0.02 , 0.018662 , 0.093317 , 5.346124 , 0.000000
1 , 0.02 , 0.018682 , 0.280487 , 5.351984 , 0.000000
1 , 0.02 , 0.018703 , 0.468757 , 5.357879 , 0.000000
1 , 0.02 , 0.018723 , 0.658599 , 5.363823 , 0.000000
1 , 0.02 , 0.018744 , 0.850503 , 5.369832 , 0.000000
1 , 0.02 , 0.018766 , 1.044979 , 5.375921 , 0.000000
1 , 0.02 , 0.018787 , 1.242565 , 5.382107 , 0.000000
1 , 0.02 , 0.018809 , 1.443829 , 5.388409 , 0.000000
1 , 0.02 , 0.012132 , -0.465636 , 1.737733 , 0.000000
1 , 0.02 , 0.014340 , -0.474210 , 2.053979 , 0.000000
1 , 0.02 , 0.017468 , -0.486358 , 2.502035 , 0.000000
1 , 0.02 , 0.022258 , -0.504960 , 3.188113 , 0.000000
1 , 0.02 , 0.030539 , -0.537124 , 4.374418 , 0.000000
1 , 0.02 , 0.037194 , -0.466117 , 5.327612 , 0.000000
1 , 0.02 , 0.037235 , -0.279521 , 5.333453 , 0.000000
1 , 0.02 , 0.037276 , -0.093200 , 5.339286 , 0.000000
1 , 0.02 , 0.037317 , 0.093302 , 5.345124 , 0.000000
1 , 0.02 , 0.037357 , 0.280440 , 5.350983 , 0.000000
1 , 0.02 , 0.037399 , 0.468677 , 5.356875 , 0.000000
1 , 0.02 , 0.037440 , 0.658487 , 5.362817 , 0.000000
1 , 0.02 , 0.037482 , 0.850359 , 5.368824 , 0.000000
1 , 0.02 , 0.037525 , 1.044802 , 5.374910 , 0.000000
1 , 0.02 , 0.037568 , 1.242354 , 5.381095 , 0.000000
1 , 0.02 , 0.037612 , 1.443583 , 5.387394 , 0.000000
1 , 0.02 , 0.018199 , -0.465665 , 1.737788 , 0.000000
1 , 0.02 , 0.021511 , -0.474245 , 2.054067 , 0.000000
1 , 0.02 , 0.026204 , -0.486402 , 2.502182 , 0.000000
1 , 0.02 , 0.033390 , -0.505017 , 3.188378 , 0.000000
1 , 0.02 , 0.045816 , -0.537208 , 4.374967 , 0.000000
1 , 0.02 , 0.055782 , -0.466044 , 5.326619 , 0.000000
1 , 0.02 , 0.055843 , -0.279478 , 5.332458 , 0.000000
1 , 0.02 , 0.055904 , -0.093185 , 5.338289 , 0.000000
1 , 0.02 , 0.055966 , 0.093287 , 5.344125 , 0.000000
1 , 0.02 , 0.056027 , 0.280396 , 5.349981 , 0.000000
1 , 0.02 , 0.056089 , 0.468604 , 5.355872 , 0.000000
1 , 0.02 , 0.056151 , 0.658384 , 5.361812 , 0.000000
1 , 0.02 , 0.056214 , 0.850225 , 5.367816 , 0.000000
1 , 0.02 , 0.056277 , 1.044638 , 5.373901 , 0.000000
1 , 0.02 , 0.056342 , 1.242158 , 5.380083 , 0.000000
1 , 0.02 , 0.056408 , 1.443356 , 5.386380 , 0.000000
1 , 0.02 , 0.024266 , -0.465693 , 1.737819 , 0.000000
1 , 0.02 , 0.028683 , -0.474279 , 2.054126 , 0.000000
1 , 0.02 , 0.034941 , -0.486444 , 2.502294 , 0.000000
1 , 0.02 , 0.044524 , -0.505073 , 3.188596 , 0.000000
1 , 0.02 , 0.061097 , -0.537290 , 4.375448 , 0.000000
1 , 0.02 , 0.074365 , -0.465977 , 5.325625 , 0.000000
1 , 0.02 , 0.074446 , -0.279437 , 5.331463 , 0.000000
1 , 0.02 , 0.074527 , -0.093172 , 5.337292 , 0.000000
1 , 0.02 , 0.074609 , 0.093274 , 5.343126 , 0.000000
1 , 0.02 , 0.074691 , 0.280356 , 5.348980 , 0.000000
1 , 0.02 , 0.074773 , 0.468536 , 5.354869 , 0.000000
1 , 0.02 , 0.074856 , 0.658289 , 5.360807 , 0.000000
1 , 0.02 , 0.074940 , 0.850102 , 5.366809 , 0.000000
1 , 0.02 , 0.075025 , 1.044486 , 5.372892 , 0.000000
1 , 0.02 , 0.075111 , 1.241978 , 5.379072 , 0.000000
1 , 0.02 , 0.075199 , 1.443146 , 5.385367 , 0.000000
1 , 0.02 , 0.030334 , -0.465720 , 1.737827 , 0.000000
1 , 0.02 , 0.035856 , -0.474312 , 2.054157 , 0.000000
1 , 0.02 , 0.043679 , -0.486485 , 2.502369 , 0.000000
1 , 0.02 , 0.055660 , -0.505128 , 3.188768 , 0.000000
1 , 0.02 , 0.076381 , -0.537370 , 4.375859 , 0.000000
1 , 0.02 , 0.092942 , -0.465916 , 5.324633 , 0.000000
1 , 0.02 , 0.093044 , -0.279401 , 5.330468 , 0.000000
1 , 0.02 , 0.093145 , -0.093160 , 5.336295 , 0.000000
1 , 0.02 , 0.093247 , 0.093261 , 5.342128 , 0.000000
1 , 0.02 , 0.093349 , 0.280318 , 5.347980 , 0.000000
1 , 0.02 , 0.093452 , 0.468474 , 5.353867 , 0.000000
1 , 0.02 , 0.093556 , 0.658201 , 5.359803 , 0.000000
1 , 0.02 , 0.093660 , 0.849989 , 5.365803 , 0.000000
1 , 0.02 , 0.093767 , 1.044348 , 5.371884 , 0.000000
1 , 0.02 , 0.093874 , 1.241813 , 5.378062 , 0.000000
1 , 0.02 , 0.093984 , 1.442953 , 5.384356 , 0.000000
1 , 0.02 , 0.036402 , -0.465747 , 1.737811 , 0.000000
1 , 0.02 , 0.043028 , -0.474344 , 2.054160 , 0.000000
1 , 0.02 , 0.052418 , -0.486526 , 2.502409 , 0.000000
1 , 0.02 , 0.066798 , -0.505182 , 3.188892 , 0.000000
1 , 0.02 , 0.091668 , -0.537448 , 4.376203 , 0.000000
1 , 0.02 , 0.111514 , -0.465861 , 5.323640 , 0.000000
1 , 0.02 , 0.111637 , -0.279367 , 5.329473 , 0.000000
1 , 0.02 , 0.111759 , -0.093149 , 5.335299 , 0.000000
1 , 0.02 , 0.111881 , 0.093250 , 5.341129 , 0.000000
1 , 0.02 , 0.112003 , 0.280285 , 5.346980 , 0.000000
1 , 0.02 , 0.112127 , 0.468418 , 5.352865 , 0.000000
1 , 0.02 , 0.112251 , 0.658122 , 5.358799 , 0.000000
1 , 0.02 , 0.112377 , 0.849887 , 5.364798 , 0.000000
1 , 0.02 , 0.112504 , 1.044222 , 5.370877 , 0.000000
1 , 0.02 , 0.112633 , 1.241663 , 5.377053 , 0.000000
1 , 0.02 , 0.112765 , 1.442779 , 5.383344 , 0.000000
1 , 0.02 , 0.042470 , -0.465774 , 1.737771 , 0.000000
1 , 0.02 , 0.050202 , -0.474376 , 2.054134 , 0.000000
1 , 0.02 , 0.061158 , -0.486565 , 2.502415 , 0.000000
1 , 0.02 , 0.077937 , -0.505234 , 3.188970 , 0.000000
1 , 0.02 , 0.106959 , -0.537525 , 4.376478 , 0.000000
1 , 0.02 , 0.130083 , -0.465810 , 5.322647 , 0.000000
1 , 0.02 , 0.130225 , -0.279337 , 5.328479 , 0.000000
1 , 0.02 , 0.130368 , -0.093139 , 5.334302 , 0.000000
1 , 0.02 , 0.130510 , 0.093240 , 5.340132 , 0.000000
1 , 0.02 , 0.130653 , 0.280255 , 5.345981 , 0.000000
1 , 0.02 , 0.130797 , 0.468367 , 5.351864 , 0.000000
1 , 0.02 , 0.130942 , 0.658051 , 5.357796 , 0.000000
1 , 0.02 , 0.131088 , 0.849795 , 5.363793 , 0.000000
