Frame, TimeStamp, X, Y, Z, intensity
1 , 0.02 , 0.000000 , -0.466408 , 1.768276 , 0.000000
1 , 0.02 , 0.000000 , -0.474999 , 2.085492 , 0.000000
1 , 0.02 , 0.000000 , -0.487167 , 2.534809 , 0.000000
1 , 0.02 , 0.000000 , -0.505795 , 3.222667 , 0.000000
1 , 0.02 , 0.000000 , -0.537998 , 4.411778 , 0.000000
1 , 0.02 , 0.000000 , -0.463512 , 5.329685 , 0.000000
1 , 0.02 , 0.000000 , -0.277772 , 5.335502 , 0.000000
1 , 0.02 , 0.000000 , -0.092308 , 5.341310 , 0.000000
1 , 0.02 , 0.000000 , 0.094260 , 5.347153 , 0.000000
1 , 0.02 , 0.000000 , 0.282391 , 5.353044 , 0.000000
1 , 0.02 , 0.000000 , 0.471624 , 5.358970 , 0.000000
1 , 0.02 , 0.000000 , 0.662433 , 5.364945 , 0.000000
1 , 0.02 , 0.000000 , 0.855306 , 5.370986 , 0.000000
1 , 0.02 , 0.000000 , 1.050754 , 5.377106 , 0.000000
1 , 0.02 , 0.000000 , 1.249313 , 5.383325 , 0.000000
1 , 0.02 , 0.000000 , 1.451555 , 5.389658 , 0.000000
1 , 0.02 , 0.006173 , -0.466439 , 1.768380 , 0.000000
1 , 0.02 , 0.007280 , -0.475036 , 2.085639 , 0.000000
1 , 0.02 , 0.008849 , -0.487213 , 2.535030 , 0.000000
1 , 0.02 , 0.011251 , -0.505856 , 3.223030 , 0.000000
1 , 0.02 , 0.015402 , -0.538086 , 4.412469 , 0.000000
1 , 0.02 , 0.018601 , -0.463428 , 5.328692 , 0.000000
1 , 0.02 , 0.018621 , -0.277722 , 5.334507 , 0.000000
1 , 0.02 , 0.018641 , -0.092291 , 5.340312 , 0.000000
1 , 0.02 , 0.018662 , 0.094243 , 5.346153 , 0.000000
1 , 0.02 , 0.018682 , 0.282340 , 5.352042 , 0.000000
1 , 0.02 , 0.018703 , 0.471539 , 5.357966 , 0.000000
1 , 0.02 , 0.018724 , 0.662313 , 5.363939 , 0.000000
1 , 0.02 , 0.018745 , 0.855151 , 5.369977 , 0.000000
1 , 0.02 , 0.018766 , 1.050563 , 5.376095 , 0.000000
1 , 0.02 , 0.018788 , 1.249087 , 5.382311 , 0.000000
1 , 0.02 , 0.018810 , 1.451291 , 5.388642 , 0.000000
1 , 0.02 , 0.012346 , -0.466469 , 1.768459 , 0.000000
1 , 0.02 , 0.014562 , -0.475072 , 2.085756 , 0.000000
1 , 0.02 , 0.017699 , -0.487258 , 2.535214 , 0.000000
1 , 0.02 , 0.022504 , -0.505915 , 3.223344 , 0.000000
1 , 0.02 , 0.030810 , -0.538173 , 4.413091 , 0.000000
1 , 0.02 , 0.037195 , -0.463350 , 5.327698 , 0.000000
1 , 0.02 , 0.037236 , -0.277675 , 5.333511 , 0.000000
1 , 0.02 , 0.037276 , -0.092275 , 5.339315 , 0.000000
1 , 0.02 , 0.037317 , 0.094227 , 5.345153 , 0.000000
1 , 0.02 , 0.037358 , 0.282293 , 5.351040 , 0.000000
1 , 0.02 , 0.037399 , 0.471460 , 5.356962 , 0.000000
1 , 0.02 , 0.037441 , 0.662202 , 5.362933 , 0.000000
1 , 0.02 , 0.037483 , 0.855007 , 5.368969 , 0.000000
1 , 0.02 , 0.037526 , 1.050386 , 5.375085 , 0.000000
1 , 0.02 , 0.037569 , 1.248876 , 5.381299 , 0.000000
1 , 0.02 , 0.037613 , 1.451046 , 5.387628 , 0.000000
1 , 0.02 , 0.018521 , -0.466498 , 1.768514 , 0.000000
1 , 0.02 , 0.021844 , -0.475107 , 2.085846 , 0.000000
1 , 0.02 , 0.026551 , -0.487302 , 2.535363 , 0.000000
1 , 0.02 , 0.033759 , -0.505973 , 3.223612 , 0.000000
1 , 0.02 , 0.046221 , -0.538257 , 4.413645 , 0.000000
1 , 0.02 , 0.055783 , -0.463277 , 5.326705 , 0.000000
1 , 0.02 , 0.055844 , -0.277631 , 5.332516 , 0.000000
1 , 0.02 , 0.055905 , -0.092261 , 5.338317 , 0.000000
1 , 0.02 , 0.055966 , 0.094213 , 5.344154 , 0.000000
1 , 0.02 , 0.056028 , 0.282249 , 5.350039 , 0.000000
1 , 0.02 , 0.056089 , 0.471386 , 5.355959 , 0.000000
1 , 0.02 , 0.056152 , 0.662098 , 5.361928 , 0.000000
1 , 0.02 , 0.056215 , 0.854873 , 5.367962 , 0.000000
1 , 0.02 , 0.056279 , 1.050222 , 5.374076 , 0.000000
1 , 0.02 , 0.056344 , 1.248680 , 5.380287 , 0.000000
1 , 0.02 , 0.056411 , 1.450818 , 5.386614 , 0.000000
1 , 0.02 , 0.024695 , -0.466527 , 1.768546 , 0.000000
1 , 0.02 , 0.029127 , -0.475141 , 2.085906 , 0.000000
1 , 0.02 , 0.035404 , -0.487345 , 2.535476 , 0.000000
1 , 0.02 , 0.045016 , -0.506030 , 3.223833 , 0.000000
1 , 0.02 , 0.061637 , -0.538340 , 4.414129 , 0.000000
1 , 0.02 , 0.074366 , -0.463210 , 5.325712 , 0.000000
1 , 0.02 , 0.074447 , -0.277590 , 5.331521 , 0.000000
1 , 0.02 , 0.074528 , -0.092247 , 5.337321 , 0.000000
1 , 0.02 , 0.074609 , 0.094199 , 5.343155 , 0.000000
1 , 0.02 , 0.074692 , 0.282209 , 5.349039 , 0.000000
1 , 0.02 , 0.074774 , 0.471319 , 5.354956 , 0.000000
1 , 0.02 , 0.074857 , 0.662003 , 5.360923 , 0.000000
